file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0011_0667925436_375rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925444_280rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925452_400rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925460_455rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925468_275rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925476_340rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925484_275rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925492_275rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925500_420rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925508_245rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925516_245rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925524_470rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925532_245rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925540_245rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925548_275rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925556_245rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925564_280rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925572_275rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925580_405rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0011_0667925588_345rrs__0030000srlc10010w1__cgnj03.csv,0,0,1,0,0,0
ss__0027_0669331448_580rrs__0030792srlc15050wv08cgnj02.csv,5,4,100,0.05,0.04,0.09
ss__0027_0669331498_970rrs__0030792srlc15050bv08zpzj02.csv,5,4,100,0.05,0.04,0.09
ss__0027_0669331515_970rrs__0030792srlc15050bv08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669331623_775rrs__0030792srlc15041w108cgnj02.csv,51,8,1296,0.039351852,0.00617284,0.045524691
ss__0027_0669332216_215rrs__0030792srlc15041b108zpzj04.csv,52,8,1296,0.040123457,0.00617284,0.046296296
ss__0027_0669332396_855rrs__0030792srlc15041b108zpzj02.csv,0,0,2,0,0,0
ss__0027_0669332516_815rrs__0030792srlc15040wu08cgnj02.csv,55,17,1296,0.042438272,0.013117284,0.055555556
ss__0027_0669333110_350rrs__0030792srlc15040bu08zpzj05.csv,57,17,1296,0.043981481,0.013117284,0.057098765
ss__0027_0669333291_745rrs__0030792srlc15040bu08zpzj02.csv,0,0,2,0,0,0
ss__0027_0669333411_470rrs__0030792srlc15030wt08cgnj02.csv,62,14,1296,0.047839506,0.010802469,0.058641975
ss__0027_0669334004_815rrs__0030792srlc15030bt08zpzj04.csv,62,14,1296,0.047839506,0.010802469,0.058641975
ss__0027_0669334187_615rrs__0030792srlc15030bt08zpzj02.csv,0,0,2,0,0,0
ss__0027_0669334314_475rrs__0030792srlc15020ws08cgnj02.csv,0,0,100,0,0,0
ss__0027_0669334366_030rrs__0030792srlc15020bs08zpzj02.csv,0,0,100,0,0,0
ss__0027_0669334383_025rrs__0030792srlc15020bs08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669334490_545rrs__0030792srlc15010wr08cgnj02.csv,0,0,100,0,0,0
ss__0027_0669334541_040rrs__0030792srlc15010br08zpzj02.csv,0,0,100,0,0,0
ss__0027_0669334558_085rrs__0030792srlc15010br08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669334705_485rrs__0030792srlc15000wq08cgnj02.csv,7,7,100,0.07,0.07,0.14
ss__0027_0669334756_025rrs__0030792srlc15000bq08zpzj02.csv,7,7,100,0.07,0.07,0.14
ss__0027_0669334773_025rrs__0030792srlc15000bq08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669334880_575rrs__0030792srlc15090wz08cgnj02.csv,11,10,100,0.11,0.1,0.21
ss__0027_0669334931_030rrs__0030792srlc15090bz08zpzj02.csv,11,10,100,0.11,0.1,0.21
ss__0027_0669334948_015rrs__0030792srlc15090bz08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669335055_515rrs__0030792srlc15080wy08cgnj02.csv,4,4,100,0.04,0.04,0.08
ss__0027_0669335106_125rrs__0030792srlc15080by08zpzj02.csv,4,4,100,0.04,0.04,0.08
ss__0027_0669335123_035rrs__0030792srlc15080by08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669335234_455rrs__0030792srlc15070wx08cgnj02.csv,9,1,100,0.09,0.01,0.1
ss__0027_0669335285_020rrs__0030792srlc15070bx08zpzj02.csv,9,1,100,0.09,0.01,0.1
ss__0027_0669335302_020rrs__0030792srlc15070bx08zpzj02.csv,1,1,1,1,1,2
ss__0027_0669335409_670rrs__0030792srlc15060ww08cgnj02.csv,6,1,100,0.06,0.01,0.07
ss__0027_0669335460_100rrs__0030792srlc15060bw08zpzj02.csv,6,1,100,0.06,0.01,0.07
ss__0027_0669335477_085rrs__0030792srlc15060bw08zpzj02.csv,0,0,1,0,0,0
ss__0027_0669335733_650rrs__0030792srlc16000w1__cgnj03.csv,1,0,1,1,0,1
ss__0059_0672191109_690rrs__0032046srlc15050wv08cgnj03.csv,7,1,100,0.07,0.01,0.08
ss__0059_0672191160_060rrs__0032046srlc15050bv08zpzj03.csv,7,1,100,0.07,0.01,0.08
ss__0059_0672191177_060rrs__0032046srlc15050bv08zpzj04.csv,0,0,1,0,0,0
ss__0059_0672191332_735rrs__0032046srlc15041w108cgnj02.csv,113,13,1296,0.087191358,0.010030864,0.097222222
ss__0059_0672191937_410rrs__0032046srlc15041b108zpzj04.csv,114,13,1296,0.087962963,0.010030864,0.097993827
ss__0059_0672192145_990rrs__0032046srlc15041b108zpzj04.csv,1,1,2,0.5,0.5,1
ss__0059_0672192313_970rrs__0032046srlc15040wu08cgnj02.csv,82,14,1296,0.063271605,0.010802469,0.074074074
ss__0059_0672192919_435rrs__0032046srlc15040bu08zpzj04.csv,82,15,1296,0.063271605,0.011574074,0.074845679
ss__0059_0672193129_875rrs__0032046srlc15040bu08zpzj04.csv,1,0,2,0.5,0,0.5
ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.csv,101,18,1296,0.077932099,0.013888889,0.091820988
ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,101,17,1296,0.077932099,0.013117284,0.091049383
ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,1,0,2,0.5,0,0.5
ss__0059_0672194285_700rrs__0032046srlc15020ws08cgnj03.csv,0,0,100,0,0,0
ss__0059_0672194336_250rrs__0032046srlc15020bs08zpzj04.csv,0,0,100,0,0,0
ss__0059_0672194353_260rrs__0032046srlc15020bs08zpzj04.csv,0,0,1,0,0,0
ss__0059_0672194513_510rrs__0032046srlc15010wr08cgnj03.csv,0,0,100,0,0,0
ss__0059_0672194564_065rrs__0032046srlc15010br08zpzj04.csv,0,0,100,0,0,0
ss__0059_0672194581_120rrs__0032046srlc15010br08zpzj04.csv,0,0,1,0,0,0
ss__0059_0672194778_515rrs__0032046srlc15000wq08cgnj03.csv,16,16,100,0.16,0.16,0.32
ss__0059_0672194829_080rrs__0032046srlc15000bq08zpzj04.csv,16,16,100,0.16,0.16,0.32
ss__0059_0672194846_065rrs__0032046srlc15000bq08zpzj04.csv,1,1,1,1,1,2
ss__0059_0672195000_020rrs__0032046srlc15090wz08cgnj03.csv,7,7,100,0.07,0.07,0.14
ss__0059_0672195050_175rrs__0032046srlc15090bz08zpzj04.csv,7,7,100,0.07,0.07,0.14
ss__0059_0672195067_170rrs__0032046srlc15090bz08zpzj04.csv,0,0,1,0,0,0
ss__0059_0672195224_550rrs__0032046srlc15080wy08cgnj03.csv,7,7,100,0.07,0.07,0.14
ss__0059_0672195275_130rrs__0032046srlc15080by08zpzj04.csv,7,7,100,0.07,0.07,0.14
ss__0059_0672195292_095rrs__0032046srlc15080by08zpzj04.csv,0,0,1,0,0,0
ss__0059_0672195448_580rrs__0032046srlc15070wx08cgnj03.csv,31,6,100,0.31,0.06,0.37
ss__0059_0672195499_115rrs__0032046srlc15070bx08zpzj04.csv,31,6,100,0.31,0.06,0.37
ss__0059_0672195516_100rrs__0032046srlc15070bx08zpzj04.csv,1,1,1,1,1,2
ss__0059_0672195677_710rrs__0032046srlc15060ww08cgnj03.csv,59,6,100,0.59,0.06,0.65
ss__0059_0672195728_080rrs__0032046srlc15060bw08zpzj04.csv,60,6,100,0.6,0.06,0.66
ss__0059_0672195745_065rrs__0032046srlc15060bw08zpzj04.csv,1,0,1,1,0,1
ss__0059_0672196010_695rrs__0032046srlc16000w1__cgnj06.csv,0,0,1,0,0,0
ss__0083_0674308432_715rrs__0032430srlc10200w108cgnj03.csv,2,0,100,0.02,0,0.02
ss__0083_0674308471_115rrs__0032430srlc10200b108zpzj03.csv,2,0,100,0.02,0,0.02
ss__0083_0674308488_035rrs__0032430srlc10200b108zpzj03.csv,0,0,1,0,0,0
ss__0083_0674308541_630rrs__0032430srlc10200w208cgnj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674308691_985rrs__0032430srlc10200b208zpzj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674308708_975rrs__0032430srlc10200b208zpzj03.csv,0,0,1,0,0,0
ss__0083_0674308761_505rrs__0032430srlc10200w308cgnj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674309038_960rrs__0032430srlc10200b308zpzj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674309055_970rrs__0032430srlc10200b308zpzj03.csv,0,0,1,0,0,0
ss__0083_0674309251_680rrs__0032430srlc11320w108cgnj02.csv,62,12,1296,0.047839506,0.009259259,0.057098765
ss__0083_0674309860_980rrs__0032430srlc11320b108zpzj05.csv,61,12,1296,0.047067901,0.009259259,0.05632716
ss__0083_0674310080_270rrs__0032430srlc11320b108zpzj03.csv,0,0,2,0,0,0
ss__0083_0674310491_435rrs__0032430srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0098_0675636952_590rrs__0040136srlc10203w108cgnj07.csv,0,0,100,0,0,0
ss__0098_0675637227_910rrs__0040136srlc10203b108zpzj06.csv,0,0,100,0,0,0
ss__0098_0675637244_940rrs__0040136srlc10203b108zpzj06.csv,0,0,1,0,0,0
ss__0098_0675637296_495rrs__0040136srlc10203w208cgnj06.csv,2,0,100,0.02,0,0.02
